subject,timepoint,event,region,signal,inc_signal
s12,3,stim,parietal,0.185581486022,18.56
s11,3,stim,parietal,-0.010137985855899999,-1.01
s10,3,stim,parietal,0.0458383526337,4.58
s9,3,stim,parietal,0.164445987706,16.44
s10,4,stim,parietal,0.143985648987,14.4
s8,3,stim,parietal,-0.00612280734889,-0.61
s6,3,stim,parietal,0.027562364835599998,2.76
s5,3,stim,parietal,0.0927117312126,9.27
s4,3,stim,parietal,0.141458050647,14.15
s3,3,stim,parietal,-0.08970777078,-8.97
s2,3,stim,parietal,0.10891557022199999,10.89
s1,3,stim,parietal,0.0922207832283,9.22
s0,3,stim,parietal,0.08639892293880001,8.64
s13,2,stim,parietal,-0.06291590684659999,-6.29
s12,2,stim,parietal,0.0772772101448,7.73
s11,2,stim,parietal,-0.0590890319945,-5.91
s10,2,stim,parietal,0.0117514891824,1.18
s9,2,stim,parietal,0.040620181407900004,4.06
s8,2,stim,parietal,-0.0499640186404,-5.0
s5,2,stim,parietal,-0.0174990444292,-1.75
s3,2,stim,parietal,-0.11056526279000001,-11.06
s9,4,stim,parietal,0.307250437048,30.73
s2,2,stim,parietal,0.00879137477466,0.88
s1,2,stim,parietal,-0.035153391354300005,-3.52
s0,2,stim,parietal,0.00964152991767,0.96
s13,1,stim,parietal,-0.0642564530879,-6.43
s12,1,stim,parietal,0.010624696534,1.06
s11,1,stim,parietal,-0.059354144857199996,-5.94
s10,1,stim,parietal,0.029822198264599996,2.98
s9,1,stim,parietal,-0.0127649638126,-1.28
s8,1,stim,parietal,-0.0495315318358,-4.95
s7,1,stim,parietal,-0.0238826223038,-2.39
s6,1,stim,parietal,-0.0373259336173,-3.73
s5,1,stim,parietal,-0.0639066373872,-6.39
s4,1,stim,parietal,-0.08217435804039999,-8.22
s3,1,stim,parietal,-0.0614603544278,-6.15
s2,1,stim,parietal,-0.0420866174374,-4.21
s1,1,stim,parietal,-0.0744017875989,-7.44
s0,1,stim,parietal,-0.0357352139038,-3.57
s13,0,stim,parietal,-0.042466603073699996,-4.25
s12,0,stim,parietal,0.00335775487784,0.34
s11,0,stim,parietal,-0.0446339217791,-4.46
s10,0,stim,parietal,0.0526185471798,5.26
s9,0,stim,parietal,-0.0183692770271,-1.84
s8,0,stim,parietal,-0.0343397320837,-3.43
s7,0,stim,parietal,0.00408135609976,0.41
s6,0,stim,parietal,-0.0233191548807,-2.33
s5,0,stim,parietal,-0.0512277101955,-5.12
s4,0,stim,parietal,-0.048868504750800006,-4.89
s3,0,stim,parietal,-0.00857603635283,-0.86
s2,0,stim,parietal,-0.0344071864202,-3.44
s5,9,stim,parietal,-0.0748428067959,-7.48
s0,13,stim,parietal,-0.05526368072769999,-5.53
s6,16,stim,parietal,-0.039950784210800006,-4.0
s10,4,stim,frontal,0.0300440528842,3.0
s11,4,stim,frontal,0.075957371738,7.6
s3,0,stim,frontal,0.0110564879557,1.11
s4,0,stim,frontal,-0.0175155017738,-1.75
s5,0,stim,frontal,-0.0229773510382,-2.3
s6,0,stim,frontal,-0.00794660736514,-0.79
s7,0,stim,frontal,-0.0208637774128,-2.09
s8,0,stim,frontal,0.01885189399,1.89
s9,0,stim,frontal,0.00288790240614,0.29
s10,0,stim,frontal,0.0743989963727,7.44
s11,0,stim,frontal,-0.028422663656,-2.84
s12,0,stim,frontal,0.038392460917699996,3.84
s13,0,stim,frontal,-0.0382661560354,-3.83
s0,1,stim,frontal,-0.0210536291102,-2.11
s1,1,stim,frontal,-0.0602726368389,-6.03
s2,1,stim,frontal,-0.036432999521,-3.64
s3,1,stim,frontal,-0.0102617412665,-1.03
s1,0,stim,frontal,-0.046048590200199996,-4.6
s5,1,stim,frontal,-0.0271789021177,-2.72
s6,1,stim,frontal,0.00956665177569,0.96
s7,1,stim,frontal,-0.0235255792331,-2.35
s8,1,stim,frontal,-0.00923150443538,-0.92
s9,1,stim,frontal,-0.005616425879319999,-0.56
s10,1,stim,frontal,0.0635584004637,6.36
s11,1,stim,frontal,-0.046234614754900004,-4.62
s12,1,stim,frontal,0.044769577296299996,4.48
s13,1,stim,frontal,-0.0464925630129,-4.65
s0,2,stim,frontal,-0.00903763731098,-0.9
s1,2,stim,frontal,-0.0375198109288,-3.75
s2,2,stim,frontal,-0.0107439374483,-1.07
s3,2,stim,frontal,-0.0573062927735,-5.73
s4,2,stim,frontal,-0.022762958962500003,-2.28
s5,2,stim,frontal,0.003835642103380001,0.38
s6,2,stim,frontal,0.025363154734999997,2.54
s7,2,stim,frontal,0.0017951089365799999,0.18
s8,2,stim,frontal,-0.042531903615499994,-4.25
s9,2,stim,frontal,-0.0144415260014,-1.44
s10,2,stim,frontal,0.0308917221226,3.09
s11,2,stim,frontal,-0.055153658518699994,-5.52
s12,2,stim,frontal,0.0750666129231,7.51
s13,2,stim,frontal,-0.024230703115099998,-2.42
s0,3,stim,frontal,0.026726699906,2.67
s1,3,stim,frontal,0.0575983739279,5.76
s2,3,stim,frontal,0.0574609669929,5.75
s3,3,stim,frontal,-0.07521335597249999,-7.52
s4,3,stim,frontal,0.120453727716,12.05
s5,3,stim,frontal,0.08662940541549999,8.66
s6,3,stim,frontal,0.0611197845412,6.11
s7,3,stim,frontal,0.0640016003297,6.4
s8,3,stim,frontal,-0.047032247436499995,-4.7
s9,3,stim,frontal,0.00206339929542,0.21
s10,3,stim,frontal,0.00959870090631,0.96
s11,3,stim,frontal,-0.0149878467224,-1.5
s12,3,stim,frontal,0.112746171369,11.27
s13,3,stim,frontal,0.0483176784389,4.83
s0,4,stim,frontal,0.0705575292618,7.06
s1,4,stim,frontal,0.202122689315,20.21
s2,4,stim,frontal,0.128158046374,12.82
s3,4,stim,frontal,-0.00183480915545,-0.18
s4,4,stim,frontal,0.324264821523,32.43
s5,4,stim,frontal,0.186011726948,18.6
s6,4,stim,frontal,0.134851244769,13.49
s7,4,stim,frontal,0.133497394423,13.35
s8,4,stim,frontal,-0.012083165600399999,-1.21
s9,4,stim,frontal,0.040636219985800005,4.06
s4,1,stim,frontal,-0.050523020963399994,-5.05
s12,4,stim,frontal,0.12304968245100001,12.3
s9,9,stim,frontal,-0.09656469547869999,-9.66
s13,4,stim,frontal,0.147685336045,14.77
s1,5,stim,frontal,0.31585962119000005,31.59
s2,5,stim,frontal,0.149879208805,14.99
s3,5,stim,frontal,0.147985329126,14.8
s4,5,stim,frontal,0.455574818936,45.56
s5,5,stim,frontal,0.23602540167599997,23.6
s6,5,stim,frontal,0.21348405272999998,21.35
s7,5,stim,frontal,0.17616070682799995,17.62
s8,5,stim,frontal,0.042811448229199994,4.28
s9,5,stim,frontal,0.05895263951550001,5.9
s10,5,stim,frontal,0.0727310324172,7.27
s11,5,stim,frontal,0.160734983232,16.07
s12,5,stim,frontal,0.0910269415202,9.1
s13,5,stim,frontal,0.211232397262,21.12
s0,6,stim,frontal,0.059436141935199985,5.94
s1,6,stim,frontal,0.321334601283,32.13
s0,5,stim,frontal,0.0853869967994,8.54
s3,6,stim,frontal,0.28222157970600004,28.22
s4,6,stim,frontal,0.410660972614,41.07
s5,6,stim,frontal,0.196370293043,19.64
s6,6,stim,frontal,0.246783997558,24.68
s7,6,stim,frontal,0.171116812089,17.11
s8,6,stim,frontal,0.08611977472760003,8.61
s9,6,stim,frontal,0.0328062245407,3.28
s10,6,stim,frontal,0.09224495325410001,9.22
s11,6,stim,frontal,0.176109444388,17.61
s12,6,stim,frontal,0.0327580046721,3.28
s13,6,stim,frontal,0.195928278229,19.59
s0,7,stim,frontal,0.00799326090472,0.8
s1,7,stim,frontal,0.20494333068300002,20.49
s2,0,stim,frontal,-0.0169852108573,-1.7
s3,7,stim,frontal,0.319009013543,31.9
s4,7,stim,frontal,0.218513616025,21.85
s5,7,stim,frontal,0.08822494738360001,8.82
s6,7,stim,frontal,0.20388410364700002,20.39
s7,7,stim,frontal,0.12677769874000006,12.68
s8,7,stim,frontal,0.102758652532,10.28
s9,7,stim,frontal,-0.0182161587995,-1.82
s10,7,stim,frontal,0.071110215695,7.11
s11,7,stim,frontal,0.100876282424,10.09
s12,7,stim,frontal,-0.0155974400049,-1.56
s13,7,stim,frontal,0.114907370649,11.49
s0,8,stim,frontal,-0.042792906461899996,-4.28
s1,8,stim,frontal,0.0366848710068,3.67
s2,8,stim,frontal,-0.057302350145699996,-5.73
s3,8,stim,frontal,0.24830210703400002,24.83
s4,8,stim,frontal,0.0109629220321,1.1
s5,8,stim,frontal,-0.0257432068711,-2.57
s6,8,stim,frontal,0.10875302065999999,10.88
s7,8,stim,frontal,0.0665348868349,6.65
s8,8,stim,frontal,0.0875068441963,8.75
s9,8,stim,frontal,-0.0670740370935,-6.71
s10,8,stim,frontal,0.0282991931797,2.83
s11,8,stim,frontal,-0.0173469329493,-1.73
s12,8,stim,frontal,-0.0415716689544,-4.16
s13,8,stim,frontal,0.013571183970700002,1.36
s0,9,stim,frontal,-0.0701018031155,-7.01
s1,9,stim,frontal,-0.09276764864949999,-9.28
s2,9,stim,frontal,-0.0861001606332,-8.61
s3,9,stim,frontal,0.127788732332,12.78
s4,9,stim,frontal,-0.108728887449,-10.87
s5,9,stim,frontal,-0.09737627624089999,-9.74
s6,9,stim,frontal,0.008616637023540001,0.86
s7,9,stim,frontal,0.0121323837445,1.21
s8,9,stim,frontal,0.0468268440164,4.68
s2,7,stim,frontal,0.0147630317538,1.48
s10,9,stim,frontal,-0.00273381445136,-0.27
s12,10,stim,frontal,-0.043594006113599995,-4.36
s12,9,stim,frontal,-0.047257276732,-4.73
s13,9,stim,frontal,-0.06805024910730001,-6.81
s0,10,stim,frontal,-0.0604329894039,-6.04
s1,10,stim,frontal,-0.14330215024,-14.33
s2,10,stim,frontal,-0.0759355234177,-7.59
s3,10,stim,frontal,0.0125251224024,1.25
s4,10,stim,frontal,-0.132442083726,-13.24
s5,10,stim,frontal,-0.118450927525,-11.85
s6,10,stim,frontal,-0.0759612307381,-7.6
s7,10,stim,frontal,-0.024942025404500003,-2.49
s8,10,stim,frontal,-0.00869981640303,-0.87
s9,10,stim,frontal,-0.101177843264,-10.12
s10,10,stim,frontal,-0.0153564272798,-1.54
s11,10,stim,frontal,-0.159771972051,-15.98
s13,10,stim,frontal,-0.110284644256,-11.03
s6,14,stim,frontal,-0.08851137824510001,-8.85
s0,11,stim,frontal,-0.0261040613509,-2.61
s1,11,stim,frontal,-0.13364655005599999,-13.36
s2,11,stim,frontal,-0.049446353537,-4.94
s3,11,stim,frontal,-0.0675200493551,-6.75
s4,11,stim,frontal,-0.107947321225,-10.79
s5,11,stim,frontal,-0.10393681679300001,-10.39
s6,11,stim,frontal,-0.138152435253,-13.82
s7,11,stim,frontal,-0.0425787763138,-4.26
s8,11,stim,frontal,-0.060692043695,-6.07
s9,11,stim,frontal,-0.09275823315239999,-9.28
s10,11,stim,frontal,-0.020110180842799998,-2.01
s11,11,stim,frontal,-0.15456374771,-15.46
s12,11,stim,frontal,-0.0353774985791,-3.54
s0,12,stim,frontal,0.00306715009204,0.31
s13,11,stim,frontal,-0.11421541126700001,-11.42
s1,12,stim,frontal,-0.09341070763699999,-9.34
s4,14,stim,frontal,-0.0706921364543,-7.07
s2,12,stim,frontal,-0.027012441705900003,-2.7
s9,15,stim,frontal,-0.0480074675662,-4.8
s4,12,stim,frontal,-0.0804438088945,-8.04
s5,12,stim,frontal,-0.07953805172339999,-7.95
s6,12,stim,frontal,-0.155545872019,-15.55
s7,12,stim,frontal,-0.042475087106300005,-4.25
s8,12,stim,frontal,-0.09682529697450001,-9.68
s9,12,stim,frontal,-0.0836627537109,-8.37
s10,12,stim,frontal,-0.019424671253,-1.94
s11,12,stim,frontal,-0.11536878007099999,-11.54
s12,12,stim,frontal,-0.032615656200900005,-3.26
s13,12,stim,frontal,-0.0900874242966,-9.01
s0,13,stim,frontal,0.0033298258602399997,0.33
s1,13,stim,frontal,-0.0527141572176,-5.27
s2,13,stim,frontal,-0.016092268153799997,-1.61
s3,13,stim,frontal,-0.107386192502,-10.74
s4,13,stim,frontal,-0.0712268148965,-7.12
s5,13,stim,frontal,-0.0546139708001,-5.46
s6,13,stim,frontal,-0.132768265808,-13.28
s7,13,stim,frontal,-0.026164597815099996,-2.62
s8,13,stim,frontal,-0.109370504289,-10.94
s9,13,stim,frontal,-0.07548380610330001,-7.55
s10,13,stim,frontal,-0.0137401688662,-1.37
s11,13,stim,frontal,-0.0652446872829,-6.52
s12,13,stim,frontal,-0.0326627425606,-3.27
s13,13,stim,frontal,-0.055233993508,-5.52
s0,14,stim,frontal,-0.00269970487539,-0.27
s1,14,stim,frontal,-0.0210033263802,-2.1
s2,14,stim,frontal,-0.010428949296900001,-1.04
s3,14,stim,frontal,-0.09036256363600001,-9.04
s5,14,stim,frontal,-0.037696315052199995,-3.77
s3,12,stim,frontal,-0.10347735239700001,-10.35
s7,14,stim,frontal,-0.000925176693984,-0.09
s10,16,stim,frontal,-0.0030570150062900004,-0.31
s9,14,stim,frontal,-0.06181713710300001,-6.18
s10,14,stim,frontal,-0.0071620233331,-0.72
s11,14,stim,frontal,-0.029557810763500007,-2.96
s12,14,stim,frontal,-0.0397865885476,-3.98
s13,14,stim,frontal,-0.022505925822099995,-2.25
s0,15,stim,frontal,-0.0119660179605,-1.2
s1,15,stim,frontal,-0.00513411267168,-0.51
s2,15,stim,frontal,-0.013845701867200001,-1.38
s3,15,stim,frontal,-0.063136252215,-6.31
s4,15,stim,frontal,-0.07093689687410001,-7.09
s5,15,stim,frontal,-0.028026991808700004,-2.8
s6,15,stim,frontal,-0.040139364069,-4.01
s11,9,stim,frontal,-0.11430426359200001,-11.43
s8,15,stim,frontal,-0.0848246341162,-8.48
s10,15,stim,frontal,-0.00411803725385,-0.41
s11,15,stim,frontal,-0.016906626259700002,-1.69
s12,15,stim,frontal,-0.0496887494108,-4.97
s13,15,stim,frontal,-7.56480581685e-05,-0.01
s0,16,stim,frontal,-0.0213990846195,-2.14
s1,16,stim,frontal,-0.0027187873155,-0.27
s2,16,stim,frontal,-0.0306336275507,-3.06
s3,16,stim,frontal,-0.0340231130191,-3.4
s4,16,stim,frontal,-0.06593923040289999,-6.59
s5,16,stim,frontal,-0.026811782099599998,-2.68
s6,16,stim,frontal,-0.0029256033178100002,-0.29
s7,16,stim,frontal,0.014300699118800001,1.43
s8,16,stim,frontal,-0.06450958840490001,-6.45
s9,16,stim,frontal,-0.0367394383882,-3.67
s0,17,stim,frontal,-0.0393222656115,-3.93
s8,14,stim,frontal,-0.102197957935,-10.22
s7,15,stim,frontal,0.015163029763,1.52
s11,16,stim,frontal,-0.0207952752934,-2.08
s2,18,stim,frontal,-0.058470978469199984,-5.85
s12,16,stim,frontal,-0.05946202186430001,-5.95
s2,17,stim,frontal,-0.0490784875502,-4.91
s3,17,stim,frontal,-0.0144004460979,-1.44
s4,17,stim,frontal,-0.0625056570924,-6.25
s5,17,stim,frontal,-0.029920708961200002,-2.99
s6,17,stim,frontal,0.0385751908208,3.86
s7,17,stim,frontal,0.00121181141337,0.12
s8,17,stim,frontal,-0.04265739048830002,-4.27
s9,17,stim,frontal,-0.0300992820085,-3.01
s11,17,stim,frontal,-0.025345201288,-2.53
s12,17,stim,frontal,-0.0601343617828,-6.01
s13,17,stim,frontal,0.0234939806648,2.35
s0,18,stim,frontal,-0.0484297385322,-4.84
s1,18,stim,frontal,-0.035852428488800006,-3.59
s10,17,stim,frontal,-0.00457116262107,-0.46
s3,18,stim,frontal,-0.0109204163368,-1.09
s9,18,stim,frontal,-0.00995933986682,-1.0
s1,17,stim,frontal,-0.015685861010700002,-1.57
s0,0,stim,parietal,-0.0393266005945,-3.93
s13,18,stim,frontal,0.0244253694066,2.44
s12,18,stim,frontal,-0.062332344586199996,-6.23
s11,18,stim,frontal,-0.0307844658374,-3.08
s10,18,stim,frontal,-0.00892838562082,-0.89
s13,16,stim,frontal,0.014085462730499999,1.41
s8,18,stim,frontal,-0.0111144370761,-1.11
s6,18,stim,frontal,0.0464997185079,4.65
s5,18,stim,frontal,-0.031012561254799998,-3.1
s4,18,stim,frontal,-0.0632631135055,-6.33
s7,18,stim,frontal,-0.019634012601999998,-1.96
s3,4,cue,parietal,0.058218611496199994,5.82
s6,5,cue,parietal,0.0381453368558,3.81
s7,5,cue,parietal,-0.00815845041105,-0.82
s8,5,cue,parietal,0.047136224538199996,4.71
s9,5,cue,parietal,0.05584730959840002,5.58
s10,5,cue,parietal,0.0378916680876,3.79
s0,4,cue,parietal,0.11532113825,11.53
s1,4,cue,parietal,0.14924178269000002,14.92
s12,5,cue,parietal,0.047576637131,4.76
s7,2,cue,parietal,-0.0766085900041,-7.66
s8,2,cue,parietal,-0.021568717167199998,-2.16
s9,2,cue,parietal,-0.009779187687450001,-0.98
s4,5,cue,parietal,0.186053377099,18.61
s5,5,cue,parietal,0.0286996754562,2.87
s2,4,cue,parietal,0.0484638721715,4.85
s3,5,cue,parietal,0.08890360175169999,8.89
s2,5,cue,parietal,0.0072156380148500005,0.72
s1,5,cue,parietal,0.215735229271,21.57
s0,5,cue,parietal,0.102043892318,10.2
